PMID,Title,Journal,Publication Year,DOI,Paper Type,Abstract,Citations,Preprint PMID,Preprint DOI,is_preprint,preprint_of,preprint_in
35590073,Deep Visual Proteomics defines single-cell identity and heterogeneity,Nature biotechnology,2022,10.1038/s41587-022-01302-5,Methodology,"Despite the availabilty of imaging-based and mass-spectrometry-based methods for spatial proteomics, a key challenge remains connecting images with single-cell-resolution protein abundance measurements. Here, we introduce Deep Visual Proteomics (DVP), which combines artificial-intelligence-driven image analysis of cellular phenotypes with automated single-cell or single-nucleus laser microdissection and ultra-high-sensitivity mass spectrometry. DVP links protein abundance to complex cellular or subcellular phenotypes while preserving spatial context. By individually excising nuclei from cell culture, we classified distinct cell states with proteomic profiles defined by known and uncharacterized proteins. In an archived primary melanoma tissue, DVP identified spatially resolved proteome changes as normal melanocytes transition to fully invasive melanoma, revealing pathways that change in a spatial manner as cancer progresses, such as mRNA splicing dysregulation in metastatic vertical growth that coincides with reduced interferon signaling and antigen presentation. The ability of DVP to retain precise spatial proteomic information in the tissue context has implications for the molecular profiling of clinical samples.",478,PPR274443,10.1101/2021.01.25.427969,False,,
41044418,Spatial multiomics of acute myocardial infarction reveals immune cell infiltration through the endocardium,Nature cardiovascular research,2025,10.1038/s44161-025-00717-y,Disease Application,"Myocardial infarction (MI) continues to be a leading cause of death worldwide. Even though it is well established that the complex interplay between different cell types determines the overall healing response after MI, the precise changes in the tissue architecture are still poorly understood. In this study, we generated an integrative cellular map of the acute phase after murine MI using a combination of imaging-based transcriptomics (Molecular Cartography) and antibody-based highly multiplexed imaging (Sequential Immunofluorescence). This enabled us to evaluate cell type compositions and changes at subcellular resolution over time. We observed the recruitment of leukocytes to the infarcted heart through the endocardium and performed unbiased spatial proteomic analysis using Deep Visual Proteomics (DVP) to investigate the underlying mechanisms. DVP identified von Willebrand factor (vWF) as an upregulated mediator of inflammation 24 hours after MI, and functional blocking of vWF reduced the infiltration of C-C chemokine receptor 2 (Ccr2)-positive monocytes and worsened cardiac function after MI.",8,PPR855498,10.1101/2024.05.20.594955,False,,
41233595,Spatial proteomics of ovarian cancer precursors delineates early disease changes and drug targets,Molecular systems biology,2026,10.1038/s44320-025-00168-4,Disease Application,"High-grade serous ovarian cancer (HGSOC) is often detected at an advanced stage, where curative treatment options are limited. Recent advances in ultrasensitive mass spectrometry-based spatial proteomics have provided a unique opportunity to uncover molecular drivers of early tumorigenesis and novel therapeutic targets. Here, we present a comprehensive proteomic analysis of serous tubal intraepithelial carcinoma (STIC), the HGSOC precursor lesion, and concurrent invasive carcinoma, covering more than 10,000 proteins from ultra-low input archival tissue. STIC and HGSOC showed highly similar proteomes, clustering into two subtypes with distinct tumor-immune microenvironments and common remodeling of the extracellular matrix. We discovered cell-of-origin signatures from secretory fallopian tube epithelial cells in STICs and identified early dysregulated pathways of therapeutic relevance. Targeting cholesterol biosynthesis by inhibiting the terminal steps via DHCR7 showed therapeutic effects in ovarian cancer cell lines and synergized with standard-of-care carboplatin treatment. This study demonstrates the power of spatially resolved quantitative proteomics in understanding early carcinogenesis and provides a rich resource for biomarker and drug target research.",1,PPR992828,10.1101/2025.03.19.643504,False,,
PPR1281006,Deep Visual Proteomics links vascular smooth muscle cell phenotypes to atherosclerotic plaque stability,bioRxiv,2026,10.64898/2026.07.17.738909,Disease Application,"Vascular smooth muscle cells (VSMCs) drive atherosclerosis through phenotypic switching, yet their spatial organization and protein signatures within plaques remain poorly characterized. Here, we applied Deep Visual Proteomics (DVP) to dissect more than 500 VSMC neighborhoods across 24 human carotid plaques and profile VSMC plasticity in disease. To functionally interpret these tissue proteomes, we built a reference atlas of primary VSMCs driven toward five phenotypes by TGF-β, PDGF-BB, osteogenic stimuli, IL-1β, or cholesterol, quantifying over 10,000 proteins. We integrated tissue and reference proteomes with a deep-learning framework that assigns functional phenotypes to each neighborhood. This revealed spatially distinct phenotype distributions and a shift toward dedifferentiated states in unstable plaques. Knockdown of four candidates (TNC, TNFAIP2, AEBP1, PLK1) validated operational roles during phenotypic switching. Our approach functionally annotates spatial proteomes and links VSMC plasticity to plaque instability in carotid artery disease.",0,,,True,,
PPR1277341,Cell-type-resolved spatial proteogenomics from matched genome and proteome of the same cells,bioRxiv,2026,10.64898/2026.07.09.737478,Disease Application,"The genome and proteome of the same cells are rarely measured together, which is especially consequential in cancer, where somatic mutations vary across clones and drive disease. We show that a single standard proteomics extraction tip can retain peptides on-tip after digestion while genomic DNA passes into the normally discarded flowthrough. Combined with Deep Visual Proteomics, flowthrough co-isolation enables cell-type-resolved spatial proteogenomics from archival FFPE tissue, demonstrated in melanoma.",0,,,True,,
PPR1242524,A cell type-resolved proteomic atlas of the human body,bioRxiv,2026,10.64898/2026.05.26.727663,Disease Application,"Proteins define what cells do, yet their systematic quantification across human cell types has remained out of reach. Using Deep Visual Proteomics on tissue from a healthy female donor, we built an atlas of 27 cell types across 14 tissues, quantifying two-thirds of all human protein-coding genes, with up to 8,500 per population. The proteome partitions bimodally into a universal core and highly specialized programs. Integration into the Human Protein Atlas Single Cell Resource enabled comparison of RNA and protein abundance at cell type resolution, revealing that concordance depends on pathway rather than cellular identity. This resolution uncovered cancer-testis antigens in oocytes invisible to bulk profiling. Our openly accessible resource provides a foundation for cell type-resolved proteomics in health and disease.",0,,,True,,
PPR1010749,Multiplexed Deep Visual Proteomics Unveils Spatial Heterogeneity and Rare Endocrine States in Human Adult Pancreatic Islets,bioRxiv,2025,10.1101/2025.04.27.650857,Disease Application,"Pancreatic islets are highly specialized tissue compartments that regulate metabolism, and their dysfunction contributes to diseases such as prediabetes and diabetes. Characterizing islet morphology and cell plasticity is essential for understanding these pathophysiological states, yet high-resolution spatial proteomics remains challenging due to the islets’ small size and cellular complexity. Here, we present multiplexed deep visual proteomics (mxDVP), an approach that integrates high-plex imaging with ultra-sensitive mass spectrometry to achieve deep spatial proteome profiling of defined cell types in tissue sections. Enhanced segmentation, semi- automated annotation, and optimized laser microdissection enable the enrichment of rare endocrine populations that are often overlooked in single-cell analyses. mxDVP achieves deep proteome coverage of >6,000 proteins from as few as 100 cells, including low-abundance transcription factors critical for endocrine cell fate determination. By profiling over 864,000 human pancreatic cells, we identify 12 endocrine subtypes, including polyhormonal hybrids, revealing previously unrecognized islet heterogeneity, metabolic regulation, and cellular adaptability.",3,,,True,,
PPR1068194,Spatial proteomics reveals mechanisms of cell-intrinsic tryptophan metabolism controlling ovarian cancer survival,bioRxiv,2025,10.1101/2025.08.14.670277,Disease Application,"Indole-2,3-dioxygenase (IDO1) depletes tryptophan to dampen anti-tumor T cells, yet IDO1 inhibitors (IDO1i) have failed clinically. Using deep visual proteomics, we isolated IDO1 high, medium and low ovarian tumor cells in situ and found IDO1 tightly linked to interferon-γ (IFN-γ) signaling and heterogeneously expressed. Across orthogonal models with tunable IDO1, IFN-γ killed ovarian cancer via a pathway requiring IFN-γ signaling, IDO1-dependent tryptophan depletion, and a biphasic integrated stress response that initially protects from starvation and later drives death. IDO1i or tryptophan supplementation rescued these effects, promoting tumor survival. These data reveal a context-dependent, tumor-suppressive facet of IDO1 and explain how IDO1i can paradoxically favor cancer viability. Our findings call for re-evaluation of IDO1 as a target and suggest exploiting the tryptophan-starvation/GCN2-ISR axis to enhance therapy.",0,,,True,,
PPR1052391,OpenDVP: An experimental and computational framework for community-empowered deep visual proteomics,bioRxiv,2025,10.1101/2025.07.13.662099,Disease Application,"Deep visual proteomics (DVP) is an emerging approach for cell type-specific and spatially resolved proteomics. However, its broad adoption has been constrained by the lack of an open-source end-to-end workflow in a community-driven ecosystem. Here, we introduce openDVP, an experimental and computational framework for simplifying and democratizing DVP. OpenDVP integrates open-source software for image analysis, including MCMICRO, QuPath, and Napari, and uses the scverse data formats AnnData and SpatialData for multi-omics integration. It offers two workflows: a fast-track pipeline requiring no image analysis expertise and an artificial intelligence (AI)-powered pipeline with recent algorithms for image pre-processing, segmentation, and spatial analysis. We demonstrate openDVP’s versatility in three archival tissue studies, profiling human placenta, early-stage lung cancer, and locally relapsed breast cancer. In each study, our framework provided insights into health and disease states by integrating spatial single-cell phenotypes with exploratory proteomic data. Finally, we introduce deep proteomic profiling of cellular neighborhoods as a scalable approach to accelerate spatial discovery proteomics across biological systems.",3,,,True,,
PPR1029109,nanoPhos enables ultra-sensitive and cell-type resolved spatial phosphoproteomics,bioRxiv,2025,10.1101/2025.05.29.656770,Disease Application,"Mass spectrometry (MS)-based phosphoproteomics has transformed our understanding of cell signaling, yet current workflows face limitations in sensitivity and spatial resolution at sub-microgram inputs. Here, we present nanoPhos, a robust method that extends phosphoproteomics to nanogram scale, making it compatible with cell-type-resolved spatial analysis. It employs loss-less solid phase extraction capture (SPEC) for sample preparation, followed by automated phosphopeptide enrichment using Fe(III)-NTA cartridges. nanoPhos identifies over 57,000 unique phosphorylation sites from 1 µg cell lysate and over 4,000 from only 10 ng, a hundred-fold improvement from recent protocols. Combined with Deep Visual Proteomics (DVP), it enables region- and cell-type resolved phosphoproteomics of mouse brain tissue with spatial fidelity and a depth of 13,000 phosphosites from only 1000 cell shapes. This establishes nanoPhos as a versatile and ultra-sensitive platform that extends DVP to post-translational modifications and opens up for cell-type-specific signaling analysis in intact tissue.",5,,,True,,
PPR866889,Deep Visual Proteomics Unveils Precision Medicine Insights in Composite Small Lymphocytic and Classical Hodgkin Lymphoma,bioRxiv,2024,10.1101/2024.06.12.598635,Disease Application,"Coexistence of two cancer types in the same organ presents challenges for clinical decision-making, calling for personalized treatment strategies. Deep Visual Proteomics (DVP) combines AI driven single cell type analysis with laser microdissection and ultrasensitive mass spectrometry. In a composite case of classical Hodgkin lymphoma (cHL) and small lymphocytic lymphoma (SLL) in a single patient, we investigated the potential of DVP to inform precision oncology. We quantified the proteomic landscapes in the cHL and SLL to a depth of thousands of proteins. Our analysis revealed distinct proteome profiles in cHL and SLL populations, highlighting their clonal unrelatedness. Our data suggested standardized chemotherapy and interleukin-4 inhibition as potential strategies to manage chemo-resistance – instead of bone marrow transplantation. DVP highlighted minichromosome maintenance protein and proteasome inhibitors for cHL and H3K27 methylation and receptor tyrosine kinase inhibitors for SLL as subtype-specific treatments. Thus cell-type specific insights of DVP can guide personalized oncological treatments.",1,,,True,,
PPR1002479,A Morpho-Proteomic Atlas of Mitosis at Sub-Minute Resolution,bioRxiv,2025,10.1101/2025.04.09.647158,Disease Application,"<h4>Summary</h4>  Precise spatiotemporal protein organization is critical for fundamental biological processes including cell division  1,2 . Indeed, aberrant mitosis and mitotic factors are involved in diverse diseases, including various cancers  3,4 , Alzheimer’s disease  5 , and rare diseases  6 . During mitosis, complex spatial rearrangements and regulation ensure the accurate separation of replicated sister chromatids to produce genetically identical daughter cells  7–9 . Previous studies employed high-throughput methodologies to follow specific proteins during mitosis  10–15 . Still a temporally refined systems-level approach capable of monitoring morphological and proteomic changes throughout mitosis has been lacking. Here, we achieved unprecedented resolution by phenotypically decomposing mitosis into 40 subsections of a regression plane for proteomic analysis using deep learning and regression techniques. Our deep visual proteomics (DVP) workflow  16 , revealed rapid, dynamic proteomic changes throughout mitosis. We quantified 4,350 proteins with high confidence, demonstrating that 147 show significant dynamic abundance changes during mitotic progression. Clustering revealed coordinated patterns of protein regulation, while network analysis uncovered tight regulation of core cell cycle proteins and a link between cell cycle and cancer-linked mutations. Immunofluorescence validated abundance changes and linked previously uncharacterised proteins, like C19orf53, to mitosis. To facilitate data navigation, we developed Mito-Omix, a user-friendly online platform that integrates intricate morphological and molecular data. Our morphological and proteomic dataset spans mitosis at high resolution, providing a rich resource for understanding healthy and aberrant cell division.",1,,,True,,
PPR1051520,Maternal smoking in early pregnancy disrupts placental function through syncytiotrophoblast and macrophage dysregulation,bioRxiv,2025,10.1101/2025.07.10.664172,Disease Application,"<h4>Summary</h4>  Smoking in pregnancy is the leading avoidable cause of gestational morbidity and mortality, causally linked to fetal growth restriction (FGR). The placenta, functional interface between mother and fetus is essential for healthy fetal development. For the first time, we studied cell type-resolved smoking effects on placental development at high molecular resolution using single-nucleus RNA sequencing and deep visual proteomics of matched tissues. We validated our findings through an independent cohort and in-vitro cigarette smoke exposure to primary human trophoblast cells. Our results show placental macrophages (Hofbauer cells; HBC) and the syncytiotrophoblast (STB) barrier are most affected by smoking, with dysregulation of cell-cell adhesion, extracellular matrix organization, and stress phenotype. STBs show moderate compositional increases in smokers and in-silico trophoblast differentiation modelling indicates a preferential shift towards the STB lineage in this group. The trophoblast displays a large upregulation of pro-angiogenic effectors, increases in xenobiotic detoxification, reduced mitochondrial function, and vastly altered transmembrane transport. These molecular changes affect placental development with important consequences for fetal growth. We provide insight into placental dysfunction contributing to FGR early in pregnancy, before clinical symptoms appear. We anticipate this data to advance diagnostics and therapies to improve FGR outcomes.",0,,,True,,
PPR669390,"SPARCS, a platform for genome-scale CRISPR screening for spatial cellular phenotypes",bioRxiv,2023,10.1101/2023.06.01.542416,Disease Application,"Forward genetic screening associates phenotypes with genotypes by randomly inducing mutations and then identifying those that result in phenotypic changes of interest. Here we present  spa tially  r esolved  C RISPR  s creening (SPARCS), a platform for microscopy-based genetic screening for spatial cellular phenotypes. SPARCS uses automated high-speed laser microdissection to physically isolate phenotypic variants  in situ from virtually unlimited library sizes. We demonstrate the potential of SPARCS in a genome-wide CRISPR-KO screen on autophagosome formation in 40 million cells. Coupled to deep learning image analysis, SPARCS recovered almost all known macroautophagy genes in a single experiment and discovered a role for the ER-resident protein EI24 in autophagosome biogenesis. Harnessing the full power of advanced imaging technologies, SPARCS enables genome-wide forward genetic screening for diverse spatial phenotypes  in situ .",7,,,True,,
